"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"649103589705564164","","18855750","2015-09-30 06:08:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@nickvargas and @spectrum266 will show how easy an #IoT development can be using #bluemix and #clouddataservices https://t.co/mBoyTVdk4b","","","","https://www.siliconvalley-codecamp.com/Session/2015/prototype-an-iot-healthcare-cloud-app-with-virtual-sensors"
"649097742682189824","","","2015-09-30 05:45:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I am going to use #apachespark and #bluemix for my #SVCC session this Saturday https://t.co/f6gYs4UkKn","","","","https://www.siliconvalley-codecamp.com/Session/2015/become-a-self-proclaimed-data-scientist"
"649096260121526272","","","2015-09-30 05:39:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","good luck on job hunt tomorrow: http://t.co/CGLLwbpiIZ","","","","http://www.sjsu.edu/careercenter/students/program-calendar/engineering-computer-science-job-fair/"
"648893828338814978","","","2015-09-29 16:15:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBM is changing the way, business think about and use big data, says @AnjulBhambhri http://t.co/tAhGxd1U78","","","","http://www.linux.com/news/enterprise/systems-management/855176-apache-big-data-preview-qaa-with-ibms-anjul-bhambhri/"
"648532371952668676","","16389360","2015-09-28 16:19:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sv_code_camp looking for template for presentation, anyone can point me?","","","",""
"648209661674459136","","","2015-09-27 18:56:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ibnlive: #ModiInUSA | @google gives a tour to PM Modi of 4 critical projects and their value for #DigitalIndia http://t.co/H65rANZshC","648200102704582656","6509832","2015-09-27 18:18:42 +0000","https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1,https://twitter.com/ibnlive/status/648200102704582656/photo/1"
"648209054246961152","","","2015-09-27 18:54:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DavidBCohen1: Zuckerberg meets #Modi, goes full saffron. #DigitalIndia http://t.co/xXcxPRoqx2","648181378249461760","458992712","2015-09-27 17:04:17 +0000","http://www.firstpost.com/world/mark-zuckerberg-changes-profile-photo-to-support-digital-india-initiative-modi-thanks-him-2446884.html,http://www.firstpost.com/world/mark-zuckerberg-changes-profile-photo-to-support-digital-india-initiative-modi-thanks-him-2446884.html"
"647817443214163969","","","2015-09-26 16:58:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#cmpe272 students, midterm rescheduled due to career fair next week, see canvas announcement. thx","","","",""
"647455050323886080","","8899792","2015-09-25 16:58:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@pkellner where do I find the codecamp presentation template?","","","",""
"647441067692789760","","","2015-09-25 16:02:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @robdthomas: “As soon as you minimize the importance  of something, you minimize your chances of success.”  http://t.co/AJLWOlg6r2","647373087458086913","12954062","2015-09-25 11:32:26 +0000","http://pocket.co/soRKcx,http://pocket.co/soRKcx"
"647216978533335040","","","2015-09-25 01:12:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBM's Watson coming to San Francisco http://t.co/jkdByEzVPl via @usatoday","","","","http://usat.ly/1FhXDk6"
"646874072819724288","","38911302","2015-09-24 02:29:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@spectrum266 talking about spark service in #bluemix tonight at #sjsu http://t.co/SM1IK40sW2","","","","https://twitter.com/ranjans/status/646874072819724288/photo/1"
"646867746634924032","","","2015-09-24 02:04:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Two of  my best engineers @nickvargas and @spectrum266 are teaching #bluemix to my #cmpe272 class http://t.co/nF1Emct039","","","","https://twitter.com/ranjans/status/646867746634924032/photo/1"
"646736492669173760","","","2015-09-23 17:22:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @raulchong: Happy to be representing @BigDataU  at Peace, Security and Global Development event in NYC as part of #UNGA","646475313212317696","50246854","2015-09-23 00:05:00 +0000",""
"646736375874629632","","","2015-09-23 17:22:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today is september equinox: http://t.co/4Sdq50meSx","","","","http://www.timeanddate.com/calendar/september-equinox.html"
"646425513943109632","","","2015-09-22 20:47:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A 78-Year-Old Costco Customer Got Punched Over Free Samples http://t.co/toYsiU4DMF via @UPROXX","","","","http://uproxx.it/1KthjQT"
"646424632061501441","","","2015-09-22 20:43:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#cmpe272 students, good read for you, Thanks @seemohan  https://t.co/2kWA5TdAsn","","","","https://twitter.com/seemohan/status/646423537566269440"
"646424262916636674","646421264060452865","12954062","2015-09-22 20:42:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@robdthomas @aruna_desilva also you go with the assumption that you get attacked everyday so you continuously try to make your stuffs secure","","","",""
"646423249170120704","","","2015-09-22 20:38:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","and IBM is making ""bring your own cloud app"" idea live with Cloud security enforcer: http://t.co/XmjeoFRpqt https://t.co/aF9es8Ckqx","","","","http://www-03.ibm.com/security/cloud/cloud-security-enforcer.html,https://twitter.com/robdthomas/status/646415389274996736"
"646364635717734400","","","2015-09-22 16:45:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A science fair idea turned into a winning project #svcc  http://t.co/nbsRkYqvT1 @sv_code_camp","","","","http://www.siliconvalley-codecamp.com//Session/2015/save-the-babies-using-just-an-arduino-and-100-lines-of-code"
"646362009429147648","","","2015-09-22 16:34:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""people who were right a lot of the time were people who often changed their minds"" - Jeff Bezos https://t.co/0ZEwcrk2np","","","","https://medium.com/@jasonfried/some-advice-from-jeff-bezos-28b3c2938968"
"646069367461928961","","","2015-09-21 21:11:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today is #PeaceDay: Who Will You Make Peace With? https://t.co/qrSEZ6gJhj via @YouTube","","","","https://youtu.be/V3_dl-yl74s?list=PL8sOof-07ZGeSajQ7MNOX67e9m8wy1yKJ"
"646008923707731968","","","2015-09-21 17:11:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @smacneil_: Apache Spark - Utilizing Access Point Wi-Fi Data #bluemix http://t.co/9K5jUTmYC7 http://t.co/bTsGgBApeQ","645946140521709568","873592850","2015-09-21 13:02:15 +0000","http://bit.ly/1LrjFSn,https://twitter.com/smacneil_/status/645946140521709568/photo/1,http://bit.ly/1LrjFSn,https://twitter.com/smacneil_/status/645946140521709568/photo/1"
"645997813675900929","","","2015-09-21 16:27:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Read 60 sec. in the cloud ▸ http://t.co/ptEvMxAynb","","","","http://paper.li/ranjans/1394091513?edition_id=cc60e950-6033-11e5-9128-0cc47a0d1605"
"645986494511841281","","","2015-09-21 15:42:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @IBMcloudant: IBM is a proud sponsor of #apachebigdata in Budapest! @glynn_bird shares the details: http://t.co/BGO6t2otNK http://t.co/C…","645945726950879232","24537879","2015-09-21 13:00:37 +0000","http://ibm.co/1ORYXKh,http://ibm.co/1ORYXKh,https://twitter.com/IBMcloudant/status/645945726950879232/photo/1"
"645986439088377856","","","2015-09-21 15:42:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @WFP: Tomorrow is #PeaceDay. Are you ready? Join us! Stand for peace. Fight hunger. http://t.co/aOwrUjfZxh http://t.co/1dttgYOUet","645569983033032704","27830610","2015-09-20 12:07:32 +0000","http://www.wfp.org/news/news-release/global-brands-rally-public-support-world-food-programme-and-families-affected-war,https://twitter.com/WFP/status/645569983033032704/photo/1,http://www.wfp.org/news/news-release/global-brands-rally-public-support-world-food-programme-and-families-affected-war,https://twitter.com/WFP/status/645569983033032704/photo/1"
"645641988520316929","","","2015-09-20 16:53:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @akrackeler: #DisruptSF rocking &amp; taking selfie, sleeping is over rated @neerajaganesan @beekman33 @IBMSValley @sandy_carter http://t.co…","645474487803101184","18906040","2015-09-20 05:48:04 +0000","https://twitter.com/akrackeler/status/645474487803101184/photo/1"
"645361681825067008","","","2015-09-19 22:19:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @JMarakiii: And let us not forget, humans will always be the strongest part of the ecosystem. #IoT #innovate #humanity 
 
http://t.co/Mv…","645357745848352768","2981728005","2015-09-19 22:04:11 +0000","http://radar.oreilly.com/2014/04/ioth-the-internet-of-things-and-humans.html"
"645286044565303296","","","2015-09-19 17:19:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","You will learn about spark in many of analytic sessions offered at #ibminsight http://t.co/dh9hvgRUIU","","","","http://www-01.ibm.com/software/events/insight/agenda/schedule/curriculum/"
"645285321282752516","","","2015-09-19 17:16:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Network, data and economy of scale are 3 effects driving spark growth and innovation, @robdthomas says: http://t.co/i8Fh8JJs7n","","","","http://www.robdthomas.com/2015/06/scale-effects-machine-learning-and-spark.html"
"645284148525928449","","","2015-09-19 17:11:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Become a self proclaimed data scientist in an hr. #dashdb #bluemix #svcc  http://t.co/pbQVS1duzx @sv_code_camp","","","","http://www.siliconvalley-codecamp.com//Session/2015/become-a-self-proclaimed-data-scientist"
"645280957604302848","","","2015-09-19 16:59:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I'm going to ""I ♥ APIs 2015 User Conference"".  See you there? http://t.co/mNDEYTQwyU via @Eventbrite","","","","http://www.eventbrite.com/e/i-apis-2015-user-conference-registration-15921399334?aff=estw"
"644968914800082944","","110365072","2015-09-18 20:19:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@GordonRamsay you have hooked my entire family on to your show. Its awesome !","","","",""
"644968305808162816","","","2015-09-18 20:16:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @IBMDashDB: Shiv Sehgal of @RSGMediaSystems talks about how #dashDB helps boost his companies analytics. #DataBootCamp http://t.co/80wVo…","636205182863458304","2879506944","2015-08-25 15:55:10 +0000","https://twitter.com/GetdashDB/status/636205182863458304/photo/1"
"644967923388289024","","","2015-09-18 20:15:10 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BarackObama: Retweet if you agree. #LeadOnLeave http://t.co/RTPz8Ni0zK","644950742630039553","813286","2015-09-18 19:06:54 +0000","https://twitter.com/BarackObama/status/644950742630039553/photo/1,https://twitter.com/BarackObama/status/644950742630039553/photo/1"
"644949003499470848","","","2015-09-18 18:59:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","US Census Open Data on the IBM Cloud https://t.co/7qn2Se0vhx via @IBMcloudant","","","","https://developer.ibm.com/clouddataservices/2015/09/08/census-open-data-on-ibm-cloud/"
"644894210525495297","","","2015-09-18 15:22:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @akrackeler: #ibmgirlgeekdinner thanks to our panelists for sharing their inspirations and insights @IBMSValley http://t.co/8HCucqtZBh","644713217063710720","18906040","2015-09-18 03:23:03 +0000","https://twitter.com/akrackeler/status/644713217063710720/photo/1,https://twitter.com/akrackeler/status/644713217063710720/photo/1"
"644636826884526080","","","2015-09-17 22:19:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Learn, how to speed your SQL Queries with #Spark SQL by @chetnawarade https://t.co/VM3K3GKrIQ via @ibmbluemix","","","","https://developer.ibm.com/bluemix/2015/09/04/speed-sql-queries-spark-sql/"
"644618580701630464","644618038986305536","156733266","2015-09-17 21:07:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@MASTERCHEFonFOX Derick struggling to get his frozen green tea out of that machine but finally be able to pull together, he did not give up!","","","",""
"644618052487749632","","","2015-09-17 21:04:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We never missed any single @MASTERCHEFonFOX and by all means last night winner was well deserving and #1 chef","","","",""
"644615719179698178","","","2015-09-17 20:55:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @tinagroves: #IBM's Ginni Rommety has made @FortuneMagazine Most Powerful Women List since 2012! Congrats again this year. http://t.co/7…","644614558393483264","90478485","2015-09-17 20:51:01 +0000","http://ln.is/fortune.com/2015/09/jJ0Tn"
"644615633057935360","","","2015-09-17 20:55:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Build your awesome {whatever} application and connect to #dashdb in #bluemix using the driver here: https://t.co/3GXSVx19Zt","","","","https://hub.jazz.net/project/ibmdatabase/dashDB/overview"
